id,time,type,homeTeam,homeScore,awayScore,awayTeam
1,11/June 21:00,Group A,Tyrkia,1,3,Italia
2,12/June 15:00,Group A,Wales,0,2,Sveits
3,16/June 18:00,Group A,Tyrkia,1,0,Wales
4,16/June 21:00,Group A,Italia,3,0,Sveits
5,20/June 18:00,Group A,Sveits,1,1,Tyrkia
6,20/June 18:00,Group A,Italia,4,1,Wales
7,12/June 18:00,Group B,Danmark,2,0,Finland
8,12/June 21:00,Group B,Belgia,3,0,Russland
9,16/June 15:00,Group B,Finland,0,1,Russland
10,17/June 18:00,Group B,Danmark,1,2,Belgia
11,21/June 21:00,Group B,Russland,1,2,Danmark
12,21/June 21:00,Group B,Finland,1,3,Belgia
13,13/June 18:00,Group C,Østerrike,2,0,Nord-Makedonia
14,13/June 21:00,Group C,Nederland,3,1,Ukraina
15,17/June 15:00,Group C,Ukraina,1,0,Nord-Makedonia
16,17/June 21:00,Group C,Nederland,2,1,Østerrike
17,21/June 18:00,Group C,Nord-Makedonia,0,3,Nederland
18,21/June 18:00,Group C,Ukraina,1,2,Østerrike
19,13/June 15:00,Group D,England,2,1,Kroatia
20,14/June 15:00,Group D,Skottland,0,1,Tsjekkia
21,18/June 18:00,Group D,Kroatia,2,1,Tsjekkia
22,18/June 21:00,Group D,England,2,0,Skottland
23,22/June 21:00,Group D,Kroatia,0,0,Skottland
24,22/June 21:00,Group D,Tsjekkia,1,3,England
25,14/June 18:00,Group E,Polen,2,0,Slovakia
26,14/June 21:00,Group E,Spania,3,1,Sverige
27,18/June 15:00,Group E,Sverige,1,1,Slovakia
28,19/June 21:00,Group E,Spania,1,1,Polen
29,23/June 18:00,Group E,Slovakia,0,3,Spania
30,23/June 18:00,Group E,Sverige,1,1,Polen
31,15/June 18:00,Group F,Ungarn,1,3,Portugal
32,15/June 21:00,Group F,Frankrike,2,2,Tyskland
33,19/June 15:00,Group F,Ungarn,1,3,Frankrike
34,19/June 18:00,Group F,Portugal,2,2,Tyskland
35,23/June 21:00,Group F,Portugal,1,2,Frankrike
36,23/June 21:00,Group F,Tyskland,2,0,Ungarn
37,26/June 18:00,Round of 16,Sveits,0,1,Danmark
38,26/June 21:00,Round of 16,Italia,1,0,Østerrike
39,27/June 18:00,Round of 16,Nederland,0,1,Tsjekkia
40,27/June 21:00,Round of 16,Belgia,1,0,Portugal
41,28/June 18:00,Round of 16,Kroatia,1,0,Polen
42,28/June 21:00,Round of 16,Frankrike,1,0,Tyrkia
43,29/June 18:00,Round of 16,England,0,1,Tyskland
44,29/June 21:00,Round of 16,Spania,1,0,Ukraina
45,02/July 18:00,Quater final,Frankrike,1,0,Kroatia
46,02/July 21:00,Quater final,Belgia,0,1,Italia
47,03/July 18:00,Quater final,Tsjekkia,1,0,Danmark
48,03/July 21:00,Quater final,Spania,0,1,Tyskland
49,06/July 21:00,Semi final,Italia,0,1,Frankrike
50,07/July 21:00,Semi final,Tyskland,1,0,Tsjekkia
51,11/July 21:00,Final,Frankrike,1,0,Tyskland
